hpi,Treatment,PyrG raw,NqrA raw,Ratio,Dilution,pyrG copies/ul,nqrA copies/ul
,,,,,,,
18,Unt,76.9,140,1.82054616384915,150,11535,21000
,,,,,,,
18,Unt,17.9,30.7,1.71508379888268,600,10740,18420
,,,,,,,
18,Unt,77.6,141,1.81701030927835,150,11640,21150
,,,,,,,
18,Unt,20.3,39.2,1.93103448275862,600,12180,23520
,,,,,,,
18,Unt,91.9,166,1.8063112078346,150,13785,24900
,,,,,,,
18,Unt,23.1,41.6,1.8008658008658,600,13860,24960
,,,,,,,
18,Ind,99.1,164,1.65489404641776,150,14865,24600
,,,,,,,
18,Ind,22.3,41.4,1.85650224215247,600,13380,24840
,,,,,,,
18,Ind,112,199,1.77678571428571,150,16800,29850
,,,,,,,
18,Ind,31.9,56.2,1.76175548589342,600,19140,33720
,,,,,,,
18,Ind,116,197,1.69827586206897,150,17400,29550
,,,,,,,
18,Ind,20.8,40.8,1.96153846153846,600,12480,24480
,,,,,,,
32,Unt,635,770,1.21259842519685,400,254000,308000
,,,,,,,
32,Unt,198,238,1.2020202020202,1600,316800,380800
,,,,,,,
32,Unt,299,378,1.26421404682274,400,119600,151200
,,,,,,,
32,Unt,99.5,120,1.20603015075377,1600,159200,192000
,,,,,,,
32,Unt,539,675,1.25231910946197,400,215600,270000
,,,,,,,
32,Unt,150,186,1.24,1600,240000,297600
,,,,,,,
32,Ind,753,1126,1.49535192563081,400,301200,450400
,,,,,,,
32,Ind,181,252,1.39226519337017,1600,289600,403200
,,,,,,,
32,Ind,443,613,1.38374717832957,400,177200,245200
,,,,,,,
32,Ind,200,272,1.36,1600,320000,435200
,,,,,,,
32,Ind,456,636,1.39473684210526,400,182400,254400
,,,,,,,
32,Ind,196,262,1.33673469387755,1600,313600,419200
,,,,,,,
34,Unt,507,629,1.24063116370809,400,202800,251600
,,,,,,,
34,Unt,165,200,1.21212121212121,1600,264000,320000
,,,,,,,
34,Unt,253,312,1.23320158102767,400,101200,124800
,,,,,,,
34,Unt,121,147,1.21487603305785,1600,193600,235200
,,,,,,,
34,Unt,590,723,1.22542372881356,400,236000,289200
,,,,,,,
34,Unt,144,174,1.20833333333333,1600,230400,278400
,,,,,,,
34,Ind,739,1012,1.36941813261164,400,295600,404800
,,,,,,,
34,Ind,203,278,1.36945812807882,1600,324800,444800
,,,,,,,
34,Ind,528,742,1.40530303030303,400,211200,296800
,,,,,,,
34,Ind,182,247,1.35714285714286,1600,291200,395200
,,,,,,,
34,Ind,508,700,1.37795275590551,400,203200,280000
,,,,,,,
34,Ind,132,180,1.36363636363636,1600,211200,288000
,,,,,,,
38,Unt,244,284,1.16393442622951,800,195200,227200
,,,,,,,
38,Unt,79.1,94.8,1.19848293299621,3200,253120,303360
,,,,,,,
38,Unt,120,149,1.24166666666667,800,96000,119200
,,,,,,,
38,Unt,35.9,44.5,1.23955431754875,3200,114880,142400
,,,,,,,
38,Unt,144,170,1.18055555555556,800,115200,136000
,,,,,,,
38,Unt,52.6,60,1.14068441064639,3200,168320,192000
,,,,,,,
38,Ind,349,434,1.24355300859599,800,279200,347200
,,,,,,,
38,Ind,82.7,99.9,1.20798065296252,3200,264640,319680
,,,,,,,
38,Ind,218,262,1.20183486238532,800,174400,209600
,,,,,,,
38,Ind,50.4,66.7,1.3234126984127,3200,161280,213440
,,,,,,,
38,Ind,209,251,1.20095693779904,800,167200,200800
,,,,,,,
38,Ind,59.2,66.8,1.12837837837838,3200,189440,213760
,,,,,,,
42,Unt,379,439,1.15831134564644,800,303200,351200
,,,,,,,
42,Unt,89.3,105,1.17581187010078,3200,285760,336000
,,,,,,,
42,Unt,472,568,1.20338983050847,800,377600,454400
,,,,,,,
42,Unt,128,152,1.1875,3200,409600,486400
,,,,,,,
42,Unt,370,409,1.10540540540541,800,296000,327200
,,,,,,,
42,Unt,73,84.8,1.16164383561644,3200,233600,271360
,,,,,,,
42,Ind,380,453,1.19210526315789,800,304000,362400
,,,,,,,
42,Ind,114,134,1.17543859649123,3200,364800,428800
,,,,,,,
42,Ind,434,529,1.21889400921659,800,347200,423200
,,,,,,,
42,Ind,84.2,99,1.17577197149644,3200,269440,316800
,,,,,,,
42,Ind,369,440,1.19241192411924,800,295200,352000
,,,,,,,
42,Ind,92.9,108,1.16254036598493,3200,297280,345600
,,,,,,,
48,Unt,202,247,1.22277227722772,1600,323200,395200
,,,,,,,
48,Unt,52,62.3,1.19807692307692,6400,332800,398720
,,,,,,,
48,Unt,176,215,1.22159090909091,1600,281600,344000
,,,,,,,
48,Unt,70.7,78.2,1.10608203677511,6400,452480,500480
,,,,,,,
48,Unt,297,357,1.2020202020202,1600,475200,571200
,,,,,,,
48,Unt,81.9,102,1.24542124542125,6400,524160,652800
,,,,,,,
48,Ind,149,169,1.13422818791946,1600,238400,270400
,,,,,,,
48,Ind,39,43.8,1.12307692307692,6400,249600,280320
,,,,,,,
48,Ind,135,153,1.13333333333333,1600,216000,244800
,,,,,,,
48,Ind,36.2,42.9,1.18508287292818,6400,231680,274560
,,,,,,,
48,Ind,212,256,1.20754716981132,1600,339200,409600
,,,,,,,
48,Ind,53.4,62.7,1.17415730337079,6400,341760,401280
